1kP_Sample	Clade	Family	Species	Tissue Type	Status	Voucher Data	Sample Provider	RNA Extractor
RCUX	Monocots	Asparagaceae	Maianthemum sp.		sequenced		D. Soltis	D. Soltis
UZXL	Monocots	Asparagaceae	Disporopsis pernyi	young leaves	sequenced	M. Heaney JMH2546	D. Soltis	I. Jordon-Thaden
JVBR	Monocots	Asphodelaceae	Aloe vera		sequenced	JCP-2012-1000-0004 (UMO)	J. C. Pires	BGI
EMJJ	Monocots	Boryaceae	Borya sphaerocephala	leaves and buds	sequenced	M.D. Barrett & Smithson 3183 (Perth)	A. Smithson	A. Smithson
FCEL	Monocots	Hemerocallidaceae	Phormium tenax		sequenced	JCP-2012-1000-0005 (UMO)	J. C. Pires	BGI
BLAJ	Monocots	Hemerocallidaceae	Hemerocallis spp.	leaves	sequenced	in preparation	D. Soltis	BGI
JHUL	Monocots	Hemerocallidaceae	Hemerocallis sp.	leaves	sequenced	Stewart and Burris	N. Stewart	N. Stewart
KOFB	Monocots	Hyacinthaceae	Urginea maritima	young leaves	sequenced	JCP-2012-1000-0006 (UMO)	J. C. Pires	C. Pires
SVTS	Monocots	Hyacinthaceae	Drimia altissima	leaves	sequenced	JCP-2012-1000-0007 (UMO)	J. C. Pires	BGI
YJUG	Monocots	Hypoxidaceae	Curculigo sp.		sequenced	JCP-2012-1000-0008 (UMO)	J. C. Pires	J. C. Pires
LTZF	Monocots	Iridaceae	Sisyrinchium angustifolium		sequenced	JCP-2012-1000-0009 (UMO)	J. C. Pires	J. C. Pires
MUMD	Monocots	Laxmanniaceae	Lomandra longifolia		sequenced	JCP-2012-1000-0010 (UMO)	J. C. Pires	BGI
VTUS	Monocots	Orchidaceae	Goodyera pubescens	young leaves	sequenced		J. Leebens-Mack	J. Leebens-Mack
MTHW	Monocots	Orchidaceae	Platanthera clavellata	young leaves	sequenced		J. Leebens-Mack	J. Leebens-Mack
THDM	Monocots	Orchidaceae	Vanilla planifolia		sequenced	JCP-2012-1000-0011 (UMO)	J. C. Pires	BGI
XZME	Monocots	Orchidaceae	Drakaea elastica	"leaves	 flowers	 and buds"	sequenced	M.D. Barrett 3297 (Perth)	A. Smithson	A. Smithson
CNTZ	Monocots	Orchidaceae	Oncidium sphacelatum	whole plant with flowers	low quality	132711 (ALTA)	M. Deyholos	M. Deyholos
JSAG	Monocots	Orchidaceae	Masdevallia yuangensis	"buds	 leaves	 roots"	sequenced	M.K. Deyholos 2016-122	M. Deyholos	M. Deyholos
LELS	Monocots	Orchidaceae	Haemaria discolor	leaf and flower	sequenced		M. Deyholos	Yu Yang
MVRF	Monocots	Ruscaceae	Sansevieria trifasciata		sequenced	JCP-2012-1000-0012 (UMO)	J. C. Pires	BGI
HOKG	Monocots	Ruscaceae	Nolina atopocarpa	young leaves and flower buds	sequenced		J. Leebens-Mack	J. Leebens-Mack
LSJW	Monocots	Ruscaceae	Ruscus sp.	"fruit	 stem	 leaves"	sequenced	132758 (ALTA)	M. Deyholos	M. Deyholos
ONBE	Monocots	Ruscaceae	Eriospermum lancifolia	young leaves	sequenced	JCP-2012-1000-0013 (UMO)	J. C. Pires	C. Pires
RQZP	Monocots	Ruscaceae	Nolina bigelovii	young leaves	sequenced	M. Heaney JMH2984	D. Soltis	I. Jordon-Thaden
TCYS	Monocots	Ruscaceae	Peliosanthes minor	young leaves	sequenced	M. Heaney JMH2549	D. Soltis	I. Jordon-Thaden
KYNE	Monocots	Tecophilaeaceae	Cyanella orchidiformis		sequenced	JCP-2012-1000-0014 (UMO)	J. C. Pires	J. C. Pires
RDYY	Monocots	Tecophilaeaceae	Cyanastrum cordifolium		sequenced	JCP-2012-1000-0015 (UMO)	J. C. Pires	BGI
IXEM	Monocots	Themidaceae	Brodiaea sierrae		sequenced	JCP-2012-1000-0016 (UMO)	J. C. Pires	BGI
WTDE	Monocots	Xanthorrhoeaceae	Johnsonia pubescens	flowers	sequenced	M.D. Barrett 3194 (Perth)	A. Smithson	A. Smithson
SART	Monocots	Xeronemataceae	Xeronema callistemon		sequenced	JCP-2012-1000-0017 (UMO)	J. C. Pires	BGI
QGLJ	Monocots/Commelinids	Arecaceae	Cocos nucifera	leaves	sequenced	Chase 34489 K	M. Chase	BGI
NSPR	Monocots/Commelinids	Arecaceae	Nypa fruticans	leaves	sequenced	Chase 34462 K	M. Chase	BGI
HXJE	Monocots/Commelinids	Arecaceae	Serenoa repens	young leaves	sequenced	Soltis and Miles 2935	J. Leebens-Mack	J. Leebens-Mack
HWUP	Monocots/Commelinids	Arecaceae	Sabal bermudana	leaf shoots	sequenced		J. Leebens-Mack	J. Leebens-Mack
YMES	Monocots/Commelinids	Arecaceae	Typhonium blumei	leaves and buds	sequenced	M.D. Barrett 3242 (Perth)	A. Smithson	A. Smithson
TZNS	Monocots/Commelinids	Cannaceae	Canna sp.	young leaves	sequenced	Soltis and Miles 2928	D. Soltis	D. Soltis
KNKV	Monocots/Commelinids	Heliconiaceae	Heliconia sp.	young leaves	sequenced	Soltis and Miles 2934	D. Soltis	D. Soltis
TNWF	Monocots/Commelinids	Heliconiaceae	Heliconia sp.	young leaves	sequenced	Soltis and Miles 2934	J. Leebens-Mack	J. Leebens-Mack
LSKK	Monocots/Commelinids	Lowiaceae	Orchidantha maxillarioides	flower and leaf buds	sequenced	JLM2013-54 (GA)	D. Soltis	BGI
JNUB	Monocots/Commelinids	Marantaceae	Maranta leuconeura	leaf and flower buds	sequenced	ABG	D. Soltis	BGI
UOEL	Monocots/Commelinids	Strelitziaceae	Strelitzia reginae	leaves	sequenced	Chase 34470 K	M. Chase	BGI
JQCX	Monocots/Commelinids	Zingiberaceae	Curcuma longa	young leaves	sequenced	Soltis and Miles 2933	D. Soltis	D. Soltis
OYLU	Monocots/Commelinids	Zingiberaceae	Curcuma longa	young leaves	sequenced		D. Soltis	Soltis Lab
BDJQ	Monocots/Commelinids	Zingiberaceae	Zingiber officinale	young leaves	sequenced	T. Chen et. al. 2010090808	Tao Chen	BGI
BYPY	Monocots/Commelinids	Bromeliaceae	Brocchinia reducta	young shoot	sequenced		J. Leebens-Mack	J. Leebens-Mack
PWSG	Monocots/Commelinids	Cyperaceae	Cyperus papyrus	shoot (no flower)	sequenced	M.K. Deyholos 2016-123	M. Deyholos	M. Deyholos
WBIB	Monocots/Commelinids	Cyperaceae	Lepidosperma gibsonii	leaves and buds	sequenced	M.D. Barrett 3201 (Perth)	A. Smithson	A. Smithson
XPAF	Monocots/Commelinids	Cyperaceae	Mapania palustris	leaf shoots	sequenced	in preparation	D. Soltis	BGI
WXNT	Monocots/Commelinids	Joinvilleaceae	Joinvillea ascendens	leaf	sequenced	800379	D. W. Stevenson	BGI
CIEA	Monocots/Commelinids	Juncaceae	Juncus inflexus	leaves	sequenced	132710 (ALTA)	M. Deyholos	M. Deyholos
RMVB	Monocots/Commelinids	Poaceae	Avena fatua	young shoot	sequenced	"Zuidof-Lacombe AB	 Wild oats #1"	N. Stewart	BGI
IADP	Monocots/Commelinids	Poaceae	Deschampsia cespitosa	leaves	sequenced	Chase 34433 K	M. Chase	BGI
YPIC	Monocots/Commelinids	Poaceae	Microstegium vimineum	leaves and stems	sequenced	Stewart and Burris	N. Stewart	N. Stewart
YXNR	Monocots/Commelinids	Poaceae	Triodia aff. bynoei	leaves and buds	sequenced	M.D. Barrett 3198 (Perth)	A. Smithson	A. Smithson
SOHV	Monocots/Commelinids	Poaceae	Panicum miliaceum	mature leaf	sequenced	Kellogg PI536011 (MO)	E. Kellogg	J. Hibberd
ROEI	Monocots/Commelinids	Poaceae	Cymbopogon nardus	shoot (no flower)	sequenced	132708 (ALTA)	M. Deyholos	M. Deyholos
ZENX	Monocots/Commelinids	Poaceae	Neurachne alopecuroidea	shoot	sequenced	TDM 5269 (Perth)	M. Ludwig	H. Clayton
VQYB	Monocots/Commelinids	Poaceae	Neurachne lanigera	shoot	sequenced	TDM 5177 (Perth)	M. Ludwig	H. Clayton
ZMGN	Monocots/Commelinids	Poaceae	Neurachne munroi	shoot	sequenced	TDM 5169 (Perth)	M. Ludwig	H. Clayton
BPKH	Monocots/Commelinids	Poaceae	Neurachne annularis	shoot	sequenced	TDM 5166 (Perth)	M. Ludwig	M. Ludwig
BXAY	Monocots/Commelinids	Poaceae	Neurachne minor	shoot	sequenced	TDM 5175 (Perth)	M. Ludwig	M. Ludwig
NNOK	Monocots/Commelinids	Poaceae	Neurachne tenuifolia		sequenced	Latz 25064 (DNA)	M. Ludwig	M. Ludwig
XUAB	Monocots/Commelinids	Poaceae	Paraneurachne muelleri		sequenced	Albrecht 13786 (Perth)	M. Ludwig	M. Ludwig
WCOR	Monocots/Commelinids	Poaceae	Thyridolepis multiculmis	shoot	sequenced	TDM 5172 (Perth)	M. Ludwig	H. Clayton
XBKS	Monocots/Commelinids	Poaceae	Thyridolepis mitchelliana	shoot	sequenced	TDM 5170 (Perth)	M. Ludwig	H. Clayton
HATH	Monocots/Commelinids	Poaceae	Aristida stricta	young leaves	sequenced	JDR 10	D. Soltis	BGI
RCAH	Monocots/Commelinids	Poaceae	Uniola paniculata	young leaves	sequenced	R. Hodel RGJH1001	D. Soltis	I. Jordon-Thaden
TIJL	Monocots/Commelinids	Poaceae	Eleusine coracana	leaf unstressed	sequenced	M.K. Deyholos 2016-124	M. Deyholos	Anupreeti Ramadoss
OMXG	Monocots/Commelinids	Poaceae	Eleusine coracana	root unstressed	sequenced	M.K. Deyholos 2016-124	M. Deyholos	Anupreeti Ramadoss
CXSJ	Monocots/Commelinids	Poaceae	Eleusine coracana	root drought	sequenced	M.K. Deyholos 2016-124	M. Deyholos	Anupreeti Ramadoss
PZAP	Monocots/Commelinids	Poaceae	Eleusine coracana	flower	sequenced	M.K. Deyholos 2016-125	M. Deyholos	Anupreeti Ramadoss
YLWW	Monocots/Commelinids	Poaceae	Uniola paniculata	young leaves	sequenced	R. Hodel RGJH1001-2	D. Soltis	I. Jordon-Thaden
BSTR	Monocots/Commelinids	Restionaceae	Chondropetalum tectorum	young shoots	sequenced	JLM2013-27 (GA)	J. Leebens-Mack	J. Leebens-Mack
PPQR	Monocots/Commelinids	Typhaceae	Typha angustifolia	leaves	sequenced	Chase 34436 K	M. Chase	BGI
BRUD	Monocots/Commelinids	Typhaceae	Typha latifolia	leaf and rhizome shoots	sequenced	in preparation	D. Soltis	BGI
SGTW	Ginkgoales	Ginkgoaceae	Ginkgo biloba	developing shoots	sequenced	in preparation	D. W. Stevenson	M. Deyholos
VDAO	Gnetales	Ephedraceae	Ephedra sinica	shoot	sequenced	132703 (ALTA)	M. Deyholos	M. Deyholos
GTHK	Gnetales	Gnetaceae	Gnetum montanum	leaves	sequenced	in preparation	Tao Chen	BGI
XZUY	Cycadales	Cycadaceae	Cycas micholitzii	leaves	sequenced	in preparation	Tao Chen	BGI
KAWQ	Cycadales	Stangeriaceae	Stangeria eriopus	Young Leaf	sequenced	Montgomery Botanical Center (#3)	D. W. Stevenson	D.W. Stevenson
WLIC	Cycadales	Zamiaceae	Dioon edule	leaf	sequenced	1576/87-G; NYBG	D. W. Stevenson	BGI
GNQG	Cycadales	Zamiaceae	Encephalartos barteri		sequenced		D. W. Stevenson	BGI
MIXZ	Conifers	Araucariaceae	Agathis robusta	Leaf	sequenced	87/98-A; (MBC)	D. W. Stevenson	D.W. Stevenson
XTZO	Conifers	Araucariaceae	Araucaria rulei		sequenced	JLM2013-19 (GA)	J. Leebens-Mack	J. Leebens-Mack
ACWS	Conifers	Araucariaceae	Agathis macrophylla	Young Leaf	sequenced	88/53-A; (MBC)	D. W. Stevenson	D.W. Stevenson
RSCE	Conifers	Araucariaceae	Wollemia nobilis	leaves	sequenced	Susan Murch s.n. [not submitted to UBC yet]	S. Graham	S. Graham
WYAJ	Conifers	Cephalotaxaceae	Cephalotaxus harringtonia	branch apex including needles	sequenced	132700 (ALTA)	M. Deyholos	M. Deyholos
GJTI	Conifers	Cephalotaxaceae	Cephalotaxus harringtonia	leaves	sequenced	B.C. Zhuang & C. Gallant bg045/26003 (UBC)	S. Graham	S. Graham
IAJW	Conifers	Cephalotaxaceae	Amentotaxus argotaenia	leaf	sequenced	P. Thomas 19763949 (E)	D. W. Stevenson	D. W. Stevenson
XIRK	Conifers	Cupressaceae	Athrotaxis cupressoides	leaf	sequenced	P. Thomas 20052511 (E)	S. Graham	L. DeGironimo
YYPE	Conifers	Cupressaceae	Austrocedrus chilensis	leaves	sequenced	B.C. Zhuang & C. Gallant bg098/35210 (UBC)	S. Graham	S. Graham
IFLI	Conifers	Cupressaceae	Callitris gracilis		sequenced	DJ533A	A. Lowe	BGI
RMMV	Conifers	Cupressaceae	Callitris macleayana		sequenced		A. Lowe	BGI
FRPM	Conifers	Cupressaceae	Calocedrus decurrens	leaves	sequenced	B.C. Zhuang & C. Gallant bg422/40057 (UBC)	S. Graham	S. Graham
AIGO	Conifers	Cupressaceae	Chamaecyparis lawsoniana	leaf	sequenced	546/65A	D. W. Stevenson	BGI
DSXO	Conifers	Cupressaceae	Cryptomeria japonica	branch apex including needles and cones	sequenced	132702 (ALTA)	M. Deyholos	M. Deyholos
HOUF	Conifers	Cupressaceae	Cryptomeria japonica	leaf	sequenced	81/49A	D. W. Stevenson	BGI
OUOI	Conifers	Cupressaceae	Cunninghamia lanceolata	young shoot	sequenced	B.C. Zhuang & C. Gallant bg109/30069 (UBC)	S. Graham	BGI
ESYX	Conifers	Cupressaceae	Cunninghamia lanceolata	branch apex incl. needles	sequenced	132701 (ALTA)	M. Deyholos	M. Deyholos
QNGJ	Conifers	Cupressaceae	Cupressus dupreziana		sequenced	JLM2013-33 (GA)	J. Leebens-Mack	J. Leebens-Mack
GKCZ	Conifers	Cupressaceae	Diselma archeri	leaf	sequenced	P. Thomas 19802712 (E)	D. W. Stevenson	D. W. Stevenson
UEVI	Conifers	Cupressaceae	Fokienia hodginsii	leaf	sequenced	P. Thomas 19950510 (E)	D. W. Stevenson	D. W. Stevenson
OXGJ	Conifers	Cupressaceae	Glyptostrobus pensilis	young shoot	sequenced	B.C. Zhuang & C. Gallant bg107/949 (UBC)	S. Graham	BGI
XMGP	Conifers	Cupressaceae	Juniperus scopulorum	young shoot	sequenced	E. La Fountaine 2013-002 (UBC)	S. Graham	BGI
NRXL	Conifers	Cupressaceae	Metasequoia glyptostroboides	leaves	sequenced	B.C. Zhuang & C. Gallant bg094/16788 (UBC)	S. Graham	S. Graham
XQSG	Conifers	Cupressaceae	Microbiota decussata	leaves	sequenced	B.C. Zhuang & C. Gallant bg103/12701 (UBC)	S. Graham	S. Graham
JDQB	Conifers	Cupressaceae	Neocallitropsis pancheri		sequenced		J. Leebens-Mack	J. Leebens-Mack
OVIJ	Conifers	Cupressaceae	Papuacedrus papuana	leaf	sequenced	P. Thomas 19682163 (E)	D. W. Stevenson	D. W. Stevenson
ETCJ	Conifers	Cupressaceae	Pilgerodendron uviferum	leaves	sequenced	B.C. Zhuang & C. Gallant bg099/35314 (UBC)	S. Graham	S. Graham
BUWV	Conifers	Cupressaceae	Platycladus orientalis	leaves	sequenced	B.C. Zhuang & C. Gallant bg424/29264 (UBC)	S. Graham	S. Graham
HBGV	Conifers	Cupressaceae	Sequoia sempervirens	branch apex including needles	sequenced	132704 (ALTA)	M. Deyholos	M. Deyholos
QFAE	Conifers	Cupressaceae	Sequoiadendron giganteum Glaucum	leaf	sequenced	1638/2002-A; NYBG	D. W. Stevenson	BGI
QSNJ	Conifers	Cupressaceae	Taiwania cryptomerioides	leaves	sequenced	B.C. Zhuang & C. Gallant bg105/21199 (UBC)	S. Graham	S. Graham
FHST	Conifers	Cupressaceae	Taxodium distichum	leaves	sequenced	B.C. Zhuang & C. Gallant bg104/27812 (UBC)	S. Graham	S. Graham
CGDN	Conifers	Cupressaceae	Tetraclinis sp.		sequenced	JLM2013-72 (GA)	J. Leebens-Mack	J. Leebens-Mack
VFYZ	Conifers	Cupressaceae	Thuja plicata	young shoot	sequenced	B.C. Zhuang & C. Gallant bg426/39575 (UBC)	S. Graham	BGI
NKIN	Conifers	Cupressaceae	Thujopsis dolabrata	young shoot	sequenced	B.C. Zhuang & C. Gallant bg096/14841 (UBC)	S. Graham	BGI
AUDE	Conifers	Cupressaceae	Widdringtonia cedarbergensis	young leaf	sequenced	L. DeGironimo 637/2004-B (NY)	D. W. Stevenson	L. DeGironimo
VSRH	Conifers	Pinaceae	Abies lasiocarpa	leaf	sequenced	2036/2007A	D. W. Stevenson	BGI
NPRL	Conifers	Pinaceae	Cathaya argyrophylla		sequenced	JLM2013-25 (GA)	J. Leebens-Mack	J. Leebens-Mack
GGEA	Conifers	Pinaceae	Cedrus libani	young shoot	sequenced	B.C. Zhuang & C. Gallant bg102/7617 (UBC)	S. Graham	BGI
JUWL	Conifers	Pinaceae	Keteleeria evelyniana	young shoot	sequenced	JLM2013-48 (GA)	J. Leebens-Mack	J. Leebens-Mack
WVWN	Conifers	Pinaceae	Larix speciosa	young shoot	sequenced	R. Mindell & B.C. Zhuang 36696 (UBC)	S. Graham	S. Graham
AREG	Conifers	Pinaceae	Nothotsuga longibracteata		sequenced	JLM2013-51 (GA)	J. Leebens-Mack	J. Leebens-Mack
AWQB	Conifers	Pinaceae	Picea engelmannii	leaf	sequenced	80226B	D. W. Stevenson	BGI
IIOL	Conifers	Pinaceae	Pinus parviflora	leaf	sequenced	P. Thomas 19721337 (E)	D. W. Stevenson	D. W. Stevenson
DZQM	Conifers	Pinaceae	Pinus radiata	leaf	sequenced	P. Thomas 20090072 (E)	D. W. Stevenson	D. W. Stevenson
JBND	Conifers	Pinaceae	Pinus ponderosa	stems and leaves	sequenced	Stewart and Burris	N. Stewart	N. Stewart
MFTM	Conifers	Pinaceae	Pinus jeffreyi	stems and leaves	sequenced	Stewart and Burris	N. Stewart	N. Stewart
AQFM	Conifers	Pinaceae	Pseudolarix amabilis		sequenced	JLM2013-60 (GA)	J. Leebens-Mack	J. Leebens-Mack
IOVS	Conifers	Pinaceae	Pseudotsuga wilsoniana	young shoot	sequenced	R. Mindell & B.C. Zhuang 31183 (UBC)	S. Graham	BGI
GAMH	Conifers	Pinaceae	Tsuga heterophylla	leaf	sequenced	6182009A	D. W. Stevenson	BGI
HILW	Conifers	Podocarpaceae	Acmopyle pancheri		sequenced	JLM2013-15 (GA)	J. Leebens-Mack	J. Leebens-Mack
FMWZ	Conifers	Podocarpaceae	Dacrycarpus compactus	leaf	sequenced	P. Thomas 19643273 (E)	D. W. Stevenson	D. W. Stevenson
IZGN	Conifers	Podocarpaceae	Dacrydium balansae		sequenced	JLM2013-34 (GA)	J. Leebens-Mack	J. Leebens-Mack
QHBI	Conifers	Podocarpaceae	Falcatifolium taxoides		sequenced	JLM2013-40 (GA)	J. Leebens-Mack	J. Leebens-Mack
ROWR	Conifers	Podocarpaceae	Falcatifolium taxoides		sequenced		J. Leebens-Mack	J. Leebens-Mack
OWFC	Conifers	Podocarpaceae	Halocarpus bidwillii	leaves	sequenced	B.C. Zhuang & C. Gallant bg101/18306 (UBC)	S. Graham	S. Graham
ZQWM	Conifers	Podocarpaceae	Lagarostrobos franklinii	young end shoots	sequenced	C.N. Page 19763971 A3 (E)	M. Ruhsam	M. Ruhsam
CDFR	Conifers	Podocarpaceae	Manoao colensoi	leaf	sequenced	P. Thomas 19842513 (E)	D. W. Stevenson	BGI
MHGD	Conifers	Podocarpaceae	Microcachrys tetragona	leaves	sequenced	B.C. Zhuang & C. Gallant bg048/38870 (UBC)	S. Graham	S. Graham
BBDD	Conifers	Podocarpaceae	Lepidothamnus sp.	young shoot	sequenced	B.C. Zhuang & C. Gallant bg049/25451 (UBC)	S. Graham	BGI
UUJS	Conifers	Podocarpaceae	Nageia nagi	leaf	sequenced	H226195	D. W. Stevenson	BGI
JZVE	Conifers	Podocarpaceae	Parasitaxus usta		sequenced		J. Leebens-Mack	J. Leebens-Mack
JRNA	Conifers	Podocarpaceae	Phyllocladus hypophyllus	leaf	sequenced	P. Thomas 19781711 (E)	D. W. Stevenson	D. Stevenson
SCEB	Conifers	Podocarpaceae	Podocarpus coriaceus	leaf	sequenced	P. Thomas 19901428 (E)	P. Thomas	D. W. Stevenson
XLGK	Conifers	Podocarpaceae	Podocarpus rubens	leaf	sequenced	P. Thomas  20000597*A4 (E)	P. Thomas	D. W. Stevenson
EGLZ	Conifers	Podocarpaceae	Prumnopitys andina	young shoot	sequenced	B.C. Zhuang & C. Gallant bg100/36610 (UBC)	S. Graham	BGI
VGSX	Conifers	Podocarpaceae	Retrophyllum minus		sequenced	JLM2013-62 (GA)	J. Leebens-Mack	J. Leebens-Mack
QCGM	Conifers	Podocarpaceae	Saxegothaea conspicua	young shoot	sequenced	B.C. Zhuang & V. Lam 2012-bg072/20586 (UBC)	D. W. Stevenson	BGI
KLGF	Conifers	Podocarpaceae	Sundacarpus amarus		sequenced	JLM2013-68 (GA)	D. Soltis	D. Soltis
YFZK	Conifers	Sciadopityaceae	Sciadopitys verticillata	young shoot	sequenced	B.C. Zhuang & C. Gallant bg108/11040 (UBC)	S. Graham	BGI
BTTS	Conifers	Taxaceae	Austrotaxus spicata		sequenced		J. Leebens-Mack	J. Leebens-Mack
YLPM	Conifers	Taxaceae	Pseudotaxus chienii		sequenced	JLM2013-61 (GA)	J. Leebens-Mack	J. Leebens-Mack
WWSS	Conifers	Taxaceae	Taxus baccata	mature leaves and small woody branch	sequenced	132705 (ALTA)	M. Deyholos	M. Deyholos
ZYAX	Conifers	Taxaceae	Taxus cuspidata	branch apex including needles	sequenced	132706 (ALTA)	M. Deyholos	M. Deyholos
EFMS	Conifers	Taxaceae	Torreya taxifolia	young shoots	sequenced	JLM2013-73 (GA)	J. Leebens-Mack	J. Leebens-Mack
HQOM	Conifers	Taxaceae	Torreya nucifera	young shoot	sequenced	B.C. Zhuang & C. Gallant bg106/6921 (UBC)	S. Graham	BGI
GAON	Lycophytes	Lycopodiaceae	Huperzia squarrosa	developing shoots	sequenced	in preparation	D. W. Stevenson	M. Deyholos
GKAG	Lycophytes	Lycopodiaceae	Huperzia lucidula	sterile leaves/branches	sequenced	Rothfels 4124 (DUKE)	C. Rothfels	C. Rothfels
NYBX	Lycophytes	Lycopodiaceae	Huperzia selago	tips of shoots	sequenced	A. Larsson 80 (UPS)	A. Larsson	A. Larsson
CBAE	Lycophytes	Huperziaceae	Huperzia myrsinites	Young Leaf	sequenced	269175-B; NYBG	D. W. Stevenson	D.W. Stevenson
ZZEI	Lycophytes	Huperziaceae	Phylloglossum drummondii	Vegetative	sequenced	DWS Wild Collected Australia 2011	D. W. Stevenson	D.W. Stevenson
GTUO	Lycophytes	Huperziaceae	Huperzia selago	tips of shoots	sequenced	AL80 (UPS)	A. Larsson	A. Larsson
ULKT	Lycophytes	Lycopodiaceae	Lycopodiella appressa		sequenced		S. Graham	BGI
PQTO	Lycophytes	Lycopodiaceae	Lycopodium deuterodensum	Young leaves and stems	sequenced	D.O. Burge 1378 (NSW Pending)	D.O. Burge	D.O. Burge
ENQF	Lycophytes	Lycopodiaceae	Lycopodium annotinum	tips of shoots	sequenced	AL89 (UPS)	A. Larsson	A. Larsson
UPMJ	Lycophytes	Lycopodiaceae	Pseudolycopodiella caroliniana	sterile leaves/branches	sequenced	Rothfels 4130 (DUKE)	C. Rothfels	C. Rothfels
XNXF	Lycophytes	Lycopodiaceae	Dendrolycopodium obscurum	sterile leaves/branches	sequenced	Rothfels 4125 (DUKE)	C. Rothfels	C. Rothfels
WAFT	Lycophytes	Lycopodiaceae	Diphasiastrum digitatum	sterile leaves/branches	sequenced	Rothfels 4104 (DUKE)	C. Rothfels	C. Rothfels
PKOX	Lycophytes	Isoetaceae	Isoetes tegetiformans		sequenced	JLM2013-47 (GA)	J. Leebens-Mack	J. Leebens-Mack
PYHZ	Lycophytes	Isoetaceae	Isoetes sp.	Vegetative	sequenced		D. W. Stevenson	D.W. Stevenson
LGDQ	Lycophytes	Selaginellaceae	Selaginella apoda	sterile leaves/branches	sequenced	Rothfels 4118 (DUKE)	C. Rothfels	C. Rothfels
JKAA	Lycophytes	Selaginellaceae	Selaginella wallacei	leaf	sequenced		S. Graham	BGI
ABIJ	Lycophytes	Selaginellaceae	Selaginella lepidophylla	Young fronds	sequenced	RBG 20101222 (NSW Pending)	D.O. Burge	D.O. Burge
ZYCD	Lycophytes	Selaginellaceae	Selaginella acanthonota	sterile leaves/branches	sequenced	Rothfels 4132 (DUKE)	C. Rothfels	Grusz
ZZOL	Lycophytes	Selaginellaceae	Selaginella stauntoniana	"Sterile and fertile material	 and gemmae"	sequenced	Rothfels 4116 (DUKE)	C. Rothfels	C. Rothfels
KUXM	Lycophytes	Selaginellaceae	Selaginella selaginoides	tips of shoots	sequenced	Weststrand 104 (UPS)	A. Larsson	A. Larsson
ZFGK	Lycophytes	Selaginellaceae	Selaginella kraussiana	tips of shoots	sequenced	Weststrand 105 (UPS)	A. Larsson	A. Larsson
KJYC	Lycophytes	Selaginellaceae	Selaginella willdenowii	tips of shoots	sequenced	Weststrand 107 (UPS)	A. Larsson	A. Larsson
CAPN	Eusporangiate Monilophytes	Equisetaceae	Equisetum diffusum	developing shoots	sequenced	in preparation	D. W. Stevenson	M. Deyholos
JVSZ	Eusporangiate Monilophytes	Equisetaceae	Equisetum hyemale	sterile leaves/branches	sequenced	Rothfels 4137 (DUKE)	C. Rothfels	C. Rothfels
UXCS	Eusporangiate Monilophytes	Marattiaceae	Marattia sp.	leaf	sequenced		D. W. Stevenson	BGI
UGNK	Eusporangiate Monilophytes	Marattiaceae	Marattia attenuata	young leaf	sequenced	NYBG 1295/78-A	D. W. Stevenson	Lisa DeGironimo
DFHO	Eusporangiate Monilophytes	Marattiaceae	Danaea nodosa	vegetative	sequenced	Vasco 879	Alejandra Vasco	Lisa DeGironimo
BEGM	Eusporangiate Monilophytes	Ophioglossaceae	Botrypus virginianus	Young sterile leaf tissue	sequenced	Rothfels 4159 (DUKE)	C. Rothfels	C. Rothfels
WTJG	Eusporangiate Monilophytes	Ophioglossaceae	Ophioglossum petiolatum	"leaves	 stalk	 sporangia"	sequenced	132699 (ALTA)	M. Deyholos	M. Deyholos
QHVS	Eusporangiate Monilophytes	Ophioglossaceae	Ophioglossum vulgatum		sequenced	S.W. Graham 2014-1 (UBC)	S. Graham	BGI
EEAQ	Eusporangiate Monilophytes	Ophioglossaceae	Sceptridium dissectum	sterile leaf	sequenced	Rothfels 4102 and 4129 (DUKE)	C. Rothfels	C. Rothfels
QVMR	Eusporangiate Monilophytes	Psilotaceae	Psilotum nudum	developing shoots	sequenced	in preparation	D. W. Stevenson	M. Deyholos
ALVQ	Eusporangiate Monilophytes	Psilotaceae	Tmesipteris parva	Young fronds	sequenced	RBG 923285 (NSW Pending)	D.O. Burge	D.O. Burge
PNZO	Leptosporangiate Monilophytes	Culcitaceae	Culcita macrocarpa	young leaves	sequenced	"RBGE accession 19922977 F	 (pending)"	M. Ruhsam	M. Ruhsam
GANB	Leptosporangiate Monilophytes	Cyatheaceae	Cyathea (Alsophila) spinulosa	leaves	sequenced	in preparation	Tao Chen	BGI
EWXK	Leptosporangiate Monilophytes	Thyrsopteridaceae	Thyrsopteris elegans	young leaves	sequenced	"RBGE accession 19925041A	 E00183382 "	M. Ruhsam	M. Ruhsam
XDVM	Leptosporangiate Monilophytes	Gleicheniaceae	Sticherus lobatus	young fronds	sequenced	D.O. Burge 1380 (NSW Pending)	D. Burge	C. dePamphilis
MEKP	Leptosporangiate Monilophytes	Dipteridaceae	Dipteris conjugata	young leaves	sequenced	"RBGE accession 20021886 A	 E00269760"	M. Ruhsam	M. Ruhsam
TWFZ	Leptosporangiate Monilophytes	Hymenophyllaceae	Crepidomanes venosum	young fronds	sequenced	D.O. Burge 1382 (NSW Pending)	D. Burge	C. dePamphilis
